Lookup Key,Emission Factor,Source / Notes
Diesel_Fuel,2.6558,"India GHG Program base CO2 factor (2.64) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 2.6558 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
Petrol_Fuel,2.2836,"India GHG Program base CO2 factor (2.27) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 2.2836 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
CNG_Fuel,2.686,"India GHG Program base CO2 factor (2.67) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 2.686 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
LPG_Commercial,2.9979,"India GHG Program base CO2 factor (2.98) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 2.9979 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
Coal_Indian,1.9919,"India GHG Program base CO2 factor (1.98) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 1.9919 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
Furnace_Oil,3.1186,"India GHG Program base CO2 factor (3.1) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 3.1186 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
Natural_Gas,1.8913,"India GHG Program base CO2 factor (1.88) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 1.8913 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
Acetylene_Welding,3.4003,"India GHG Program base CO2 factor (3.38) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 3.4003 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
Fire_Extinguisher_CO2,1.0,"GWP of CO2 = 1, all AR vintages (kgCO2e/kg)"
Refrig_R32,675.0,IPCC AR4 GWP-100 (kgCO2e/kg) -- verify vintage required by your framework
Refrig_R410A,2088.0,IPCC AR4 GWP-100 (kgCO2e/kg) -- verify vintage required by your framework
Refrig_R22,1810.0,IPCC AR4 GWP-100 (kgCO2e/kg) -- verify vintage required by your framework
Grid_India_CEA,0.7314,"India GHG Program base CO2 factor (0.727) + ~0.6% CH4/N2O uplift per US EPA GHG Equivalencies methodology (2024) = 0.7314 kgCO2e -- uplift is a documented approximation (CO2 is >99% of combustion CO2e per EPA), not an India-specific measured N2O/CH4 split"
